,Hour,DHI,DNI,WS,RH,T,TARGET,DHI7,DNI7,WS7,RH7,T7,TARGET7,Weekmean_T,Weekmean_TARGET,Daymean_TARGET,Sunrise,cos,GHI7
0,0.0,0.0,0.0,0.8,80.92,-2.8,0.0,0.0,0.0,1.7285714285714286,50.24428571428572,-0.9142857142857144,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
1,0.5,0.0,0.0,0.9,81.53,-2.9,0.0,0.0,0.0,1.7428571428571429,50.894285714285715,-1.0714285714285712,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
2,1.0,0.0,0.0,1.0,79.91,-3.0,0.0,0.0,0.0,1.757142857142857,50.887142857142855,-1.2142857142857142,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
3,1.5,0.0,0.0,0.9,79.91,-3.0,0.0,0.0,0.0,1.7428571428571427,51.135714285714286,-1.2857142857142856,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
4,2.0,0.0,0.0,0.9,77.2,-3.0,0.0,0.0,0.0,1.7714285714285714,51.441428571428574,-1.357142857142857,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
5,2.5,0.0,0.0,1.1,78.36,-3.2,0.0,0.0,0.0,1.8285714285714287,51.58142857142857,-1.3857142857142857,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
6,3.0,0.0,0.0,1.2,76.78,-3.4,0.0,0.0,0.0,1.857142857142857,51.87142857142857,-1.4571428571428569,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
7,3.5,0.0,0.0,1.8,77.93,-3.6,0.0,0.0,0.0,1.9714285714285713,51.83714285714286,-1.4428571428571428,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
8,4.0,0.0,0.0,2.4,76.89,-3.8,0.0,0.0,0.0,2.0999999999999996,52.084285714285706,-1.4285714285714284,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
9,4.5,0.0,0.0,2.9,78.64,-4.1,0.0,0.0,0.0,2.1857142857142855,52.26428571428571,-1.4571428571428573,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
10,5.0,0.0,0.0,3.5,77.21,-4.3,0.0,0.0,0.0,2.314285714285714,52.28285714285715,-1.4285714285714284,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
11,5.5,0.0,0.0,3.6,79.07,-4.6,0.0,0.0,0.0,2.3285714285714283,52.14571428571428,-1.3714285714285714,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
12,6.0,0.0,0.0,3.8,74.74,-4.9,0.0,0.0,0.0,2.371428571428571,51.77571428571428,-1.3285714285714287,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0,0.0
13,6.5,0.0,0.0,3.9,76.45,-5.2,0.0,0.0,0.0,2.3999999999999995,51.40714285714285,-1.2142857142857142,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.0065406012744388545,0.0
14,7.0,0.0,0.0,4.1,69.45,-5.5,0.0,0.0,0.0,2.457142857142857,50.81428571428572,-1.1285714285714286,0.0,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.10767799877691757,0.0
15,7.5,5.0,0.0,4.5,68.92,-5.4,0.469267235,7.428571428571429,33.42857142857142,2.5428571428571427,48.222857142857144,-0.3571428571428574,0.7507884567142856,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.2053242938706267,14.292269252246662
16,8.0,20.0,0.0,5.0,63.5,-5.4,1.877068939,27.428571428571427,104.14285714285714,2.671428571428571,48.059999999999995,0.38571428571428534,3.5394064467142856,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.2978087313738455,58.44322359593333
17,8.5,34.0,0.0,5.3,62.54,-5.2,3.191010182,45.42857142857142,206.28571428571428,2.742857142857143,44.78857142857143,1.442857142857143,7.655214911571429,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.3835488769193631,124.54922546736574
18,9.0,50.0,1.0,5.6,61.26,-5.1,4.692656876,60.57142857142857,332.14285714285717,2.814285714285714,45.53285714285714,2.5,13.299278445714284,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.4610776928452368,213.71509083788226
19,9.5,66.0,7.0,5.8,60.8,-5.0,6.382006337999999,81.71428571428571,347.4285714285714,2.871428571428571,42.944285714285705,3.3999999999999995,17.64274016942857,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.5290686396159259,265.5278473637045
20,10.0,119.0,41.0,5.9,60.54,-4.8,12.57627897,105.14285714285712,306.99999999999994,2.914285714285714,43.27285714285714,4.257142857142856,20.189704284285714,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.5863583732815323,285.1548777402875
21,10.5,142.0,71.0,6.0,60.08,-4.7,15.95496324,126.28571428571428,354.57142857142856,2.7857142857142856,42.03428571428571,4.742857142857142,25.109598390000002,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.6319666506153226,350.3630324038901
22,11.0,137.0,26.0,6.1,59.66,-4.6,13.89018803,136.57142857142856,430.0,2.6571428571428566,43.12428571428571,5.214285714285715,30.109858021428565,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.6651131013471121,422.57006215068674
23,11.5,108.0,18.0,6.1,59.66,-4.6,10.88690413,125.28571428571428,509.57142857142856,2.5,42.47,5.485714285714286,33.139458847142855,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.6852305805149476,474.4596400995454
24,12.0,111.0,23.0,6.2,59.63,-4.6,11.35616724,120.85714285714285,523.0,2.371428571428571,43.521428571428565,5.742857142857142,33.59527673428572,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.6919748724726486,482.76000116033805
25,12.5,137.0,38.0,6.3,60.08,-4.7,14.45331964,138.28571428571428,486.7142857142857,2.2714285714285714,43.028571428571425,5.857142857142856,33.434292535714285,0.6389880952380951,7.290950650675595,3.2809462271874996,7.0,0.6852305805149476,471.7972268306323
